,,5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2023/2024 QUARTER 2 REPORT DEVIATIONS,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Number,"Period/ Quarter
(Use dropdown List)",,"Rollover / New
(Use dropdown List)","Date Received By GMC
(yyyy/mm/dd)","Entity/Department
(Use dropdown List)",Project Description,Supplier / Service Provider,"Value of Deviation
(R)",Reason for Deviation,"Award by AO/ AA
date
(yyyy/mm/dd)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
DEVIATIONS REPORT,,,,,,,,,,,,
1,Q2 2023/24,,New,2023/06/20,South African Tourism,Bid Support -Biennial Political Ecology Network Pollen Conference,African Agenda,"R565 000,00",Single Source,2023/06/01,2023/06/28,2023/06/30
2,Q2 2023/24,,New,2023/06/20,South African Tourism,Microsoft licensing renewal,Microsoft,"R17 984 141,38",Single Source,2023/06/06,2023/06/07,2023/06/07
3,Q2 2023/24,,New,2023/06/20,South African Tourism,BMW International Open AG activation,Ranzinger & Stamml GmbH,"R676 963,83",Single Source,2023/06/13,2023/06/20,2023/06/23
4,Q2 2023/24,,New,2023/06/28,South African Police Service (SAPS),"CSIR Cyber Crime Act 2020 establishment of a designated point of contact: Collaboration with the
Council for Scientific and Industrial Research",CSIR,"R26 395 186,40",Single Source,2022/12/08,2022/12/08,2025/03/25
5,Q2 2023/24,,New,2023/07/06,National Arts Council of South Africa (NAC),"The Institute of Directors South Africa (IoDSA) for provision of corporate membership of twelve (12) NAC
Council members.",The Institute of Directors South Africa (IoDSA),"R31 560,00",Single Source,2023/05/31,2023/06/05,2024/05/31
6,Q2 2023/24,,New,2023/06/26,Council for the Built Environment (CBE),"Sourcing of Inhouse Catering Service from the University of Johannesburg Students for the Youth Day
Round Table Discussions",University of Johannesburg,"R40 450,00","Single source procurement was utilised in an effort to promote skills development
amongst the students at the University of Johannesburg for the Youth Day Round
Table held at this institution in honour of Youth Month.",2023/06/07,2023/06/13,2023/06/13
7,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Renewal of the Springer Nature Annual Subscription for 2023,Springer Nature Limited,"R235 618,85",Sole Supplier,2023/05/05,2023/05/05,2023/12/31
8,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),"Armox 500T, Armox 600T and Ramor 500",SSAB South Africa (PTY) LTD,"R252 345,00",Sole Supplier,2023/05/15,2023/05/15,2023/05/15
9,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Magics SG+ and slice module yearly maintenance,Rapid 3D JV (PTY) LTD,"R84 119,63",Sole Supplier,2023/05/10,2023/05/10,2024/01/30
10,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Round robin calibration (CaRo23),Cesana-AG,"R55 793,99",Sole Supplier,2023/05/17,2023/05/17,2023/05/17
11,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Renewal of Software License for Siemens – Mentor Graphics PADS Professional Support,ASIC Design Services CC,"R229 770,00",Sole Supplier,2023/05/11,2023/05/11,2023/05/11
12,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Annual software subscription for 4x Altium Designer Pro Licences,EDA Technologies CC,"R273 861,00",Sole Supplier,2023/05/11,2023/05/11,2023/05/11
13,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),"For once off supply, installation, and commissioning of an APV-16026400A, multi-Duty, pistonlobe pump,
2.2 kW motor",SPX Flow Technology (Pty) Ltd,"R195 362,00",Sole Supplier,2023/05/26,2023/05/26,2023/05/26
14,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),"Purchase and replacement of PCB, analysis module",Poretech PTY LTD,"R113 995,06",Sole Supplier,2023/05/22,2023/05/22,2023/05/22
15,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),"Supply and delivery of Addition port APC-25/04, RA, 0.4 my valve.",Sartorius South Africa (Pty) Ltd,"R175 950,00",Sole Supplier,2023/05/23,2023/05/23,2023/05/23
16,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),The supply of 3D printer capable of printing chemically-resistant materials to the CSIR,B Volume (Pty) Ltd,"R199 503,00",Sole Supplier,2023/06/07,2023/06/07,2023/06/07
17,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Specialized Neoprene seal-NEO25 GASKETS AND SPX33 STRIPS,Sondor Industries (Pty) Ltd,"R119 742,60",Sole Supplier,2023/05/26,2023/05/26,2023/05/26
18,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Explosive charges for the PUDU System,Loulen Manufacturing Enterprises cc,"R561 977,40",Sole Supplier,2023/05/25,2023/05/25,2023/05/25
19,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Air Canon Machine Service,Tectra automation (Pty) Ltd,"R154 062,71",Sole Supplier,2023/06/02,2023/06/02,2023/06/02
20,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),"Baseline 1: Test and Evaluation: Development of user stories,Systems Engineering,Pre-Mission planning
user stories development,User Interface/Frontend,Pre-Mission planning design and
developmentBackend,Application architecture,Data model design",Midnite Aerospace Solutions (Pty) Ltd,"R2 421 794,75",Sole Supplier,2023/05/24,2023/05/24,2023/05/24
21,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Carmenta Mapping Tools Renewal of 3 software licenses,Carmenta Geospatial Technologies AB,"R103 000,92",Sole Supplier,2023/06/08,2023/06/08,2023/06/08
22,Q2 2023/24,,New,2023/07/05,Council for Scientific and Industrial Research (CSIR),Upgarde of MegaRay equipments,MegaRay Limited,"R281 879,11",Sole Supplier,2023/06/27,2023/06/27,2023/06/27
23,Q2 2023/24,,New,2023/06/19,"Department of Public Works and Infrastructure
(DPWI)","Eastern Cape: Gqeberha Regional Office : Reporting An Approved Deviation for Procurement of Security
Guarding Services for a period of four (4) months at Eben Donges Building and Harrower Roard Stores,
38 King Street Port Elizabeth",Capital Ship Trading 605,"R1 472 770,62","To Safeguard State Premises and Officials at DPWI Offices situated in Gqeberha-
Eastern Cape. The running Term Contract expired and replacement contract
could not be finalised as the tender was cancelled",2023/05/31,2023/06/01,2023/09/30
24,Q2 2023/24,,New,2023/06/22,Human Sciences Research Council (HSRC),"Strengthening the Capacities of Science Granting Councils in Gender Equality and Inclusivity (GEI)
project",Jive Media Africa,"R2 315 970,00",Funder Specific,2023/06/15,2023/08/01,2025/10/01
25,Q2 2023/24,,New,2023/06/20,South African National Space Agency (SANSA),Mathametica Lisence,Blue Stallion,"R13 817,25",Sole supplier,2023/04/24,2023/06/01,2024/05/30
26,Q2 2023/24,,New,2023/07/03,South African National Space Agency (SANSA),SC21/MK3 Datum Compass,Hall & Watts Defence Optics,"R945 534,00","SANSA received a signed work authorisation from Armscor and the SAAF to
acquire SC21/MK3 Datum Cpmpass under the Armscor",2023/05/25,2023/06/26,2024/01/01
27,Q2 2023/24,,New,2023/07/03,South African National Space Agency (SANSA),SAAO Hosting Rental,SAAO,"R950 000,00","SANSA established an optical space research (OSR) laboratory for measuring
space environment from the ground using passive opitcalmethods at the SAAO
site in Surtheland since 2015. Single source deviatoin for Hosting of Optical
Space Research Lab.",2023/05/19,2023/06/13,2027/05/31
28,Q2 2023/24,,New,2023/07/05,South African Tourism,"Bid Support - International Conference of the National Association of African American Studies and
affiliates","National Association of African American Studies and
affiliates","R647 000,00",Single Source.,2023/06/22,2023/07/14,2023/07/27
29,Q2 2023/24,,New,2023/07/05,South African Tourism,Bid support - International Hip Arthroscopy (ISHA),Walther tours,"R610 000,00",Sole Supplier,2023/06/27,2023/10/04,2023/10/07
30,Q2 2023/24,,New,2023/07/05,South African Tourism,Bid support -38th International Society for Animal Genetics conference,Turners conference and conventions (Pty) Ltd,"R610 000,00",Sole Supplier,2023/06/29,2023/07/02,2023/07/04
31,Q2 2023/24,,New,2023/07/05,South African Tourism,Bid support -International Symposium on morphological Sciences Conference,Conference management 10,"R592 000,00",Single Source.,2023/06/29,2023/08/05,2023/08/08
32,Q2 2023/24,,New,2023/07/05,South African Tourism,Bid support -Global Entrepreneurship Congress Africa - Bid Support,22 On Sloane,"R725 000,00",Single Source.,2023/06/30,2023/08/05,2023/08/08
33,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",DG Window Advert,Tisop Blackstar Group T/A Arena Holdings,"R72 381,00",Most suitable media channel to reach out to EWSETA's relevant stakeholders,2023/06/20,2023/06/20,once off
34,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",Consulting Services,Bambili Advisory (Pty) Ltd,"R241 500,00",Consultation with expert partner in the hydrogen space.,2023/06/22,2023/06/22,once off
35,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",LGYDF Youth Energy Sponsorship,Rachips Group,"R150 000,00",Sponsorship,2023/06/22,2023/06/22,once off
36,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",8th Annual GYI_28-30 June 2023,STAFRICA Voluntary Association t/a Nongoma FM,"R350 000,00",Sponsorship,2023/06/23,2023/06/23,once off
37,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",GYI & Rural2Rural Career Expo,STAFRICA Voluntary Association t/a Nongoma FM,"R450 000,00","Sponsorship and participating as a partner in the Rural2Rural Green Career Expo
.",2023/06/23,2023/06/23,once off
38,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",H1 Annual Service,Hyundai Motors,"R6 568,98",Other - maintance and repairs of vehicle on an existing maintenance plan,2023/06/27,2023/06/27,once off
39,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",IFAT Africa Conference 5-7July 2023,Messe Muenchen India Private Limited (Incorporated),"R57 983,00",Sponsorship,2023/06/27,2023/06/27,once off
40,Q2 2023/24,,New,2023/07/12,"Energy and Water Sector Education and Training
Authority (EWSETA)SETA",The Green Agenda Advert,The Green Agenda,"R35 000,00",Sponsorship,2023/07/07,2023/07/07,once off
41,Q2 2023/24,,New,2023/07/14,"Department of Environment, Forestry and Fisheries
(DEFF)","Request approval to deviate from normal procurement process and appoint Sabinet as a sole supplier for
provision of electronic legal database (general legislation) and electronic law library for the department for
a period of three years.",Sabinet Online,"R763 261,87","Juta, Sabinet and LexisNexis are the only available reputable service providers
who offer the kind of comprehensive, reliable and up to date electronic legal
resources in the country. They offer these services to other government
departments at national, provincial and local level and also to private law firms
and legal practitioners. The department has been using their services in the past
without any challenges.",2023/07/13,2023/07/13,2026/07/12
42,Q2 2023/24,,New,2023/07/14,"Department of Environment, Forestry and Fisheries
(DEFF)","Request approval to deviate from normal procurement process and appoint Lexis Nexis as a sole
supplier for provision of electronic legal database (general legislation) and electronic law library for the
department for a period of three years",LexisNexis,"R1 262 628,11","Juta, Sabinet and LexisNexis are the only available reputable service providers
who offer the kind of comprehensive, reliable and up to date electronic legal
resources in the country. They offer these services to other government
departments at national, provincial and local level and also to private law firms
and legal practitioners. The department has been using their services in the past
without any challenges.",2023/07/05,once off,once off
43,Q2 2023/24,,New,2023/07/14,"Department of Environment, Forestry and Fisheries
(DEFF)","Request approval to deviate from normal procurement process and appoint Juta as a sole supplier for
provision of electronic legal database (general legislation) and electronic law library for the department for
a period of three years",Juta and Company,"R1 760 350,64",JUTA is the only available reputable service providers who offer the kind of compr,"ehensive, relia2b0l2e3 a/0n7d/ 0u5p to date elec",tronic legalo rnecseo uorffces in the c,ountry. They oofnfecer tohfefse services t
44,Q2 2023/24,,New,2023/07/13,South African Weather Service,Procurement of 2 Magnetrons (VMS 3013),Accutronics Pty Ltd,"R4 290 650,00","Accutronics Pty Ltd South Africa is the agent/sole representative of
Communications & Power Industries'(CPI) Switzerland",2023/06/26,once off,once off
45,Q2 2023/24,,New,2023/07/13,South African Weather Service,"Appointment of Envrocon Instrumentation as a sole supplier for the supply and delivery of spares, support
and maintenance service for Met One, Horiba, TSI and Synspec BV air qulity mornitoring instrument
owned by the SAWS for a period of three years",Envirocon Instrumentation,"R2 100 000,00","Environcon is the sole and exclusive distributor of Met One,Horiba ,TSI and Syn",2023/06/30,2023/07/01,2026/06/30
46,Q2 2023/24,,New,2023/07/13,South African Weather Service,Procurement of Tenet connectivity to Sanren,Tenet,"R1 120 822,20","Continuation of service, SAWS currently uses Tenet internet and Sanren
connectivity services as well as Tenet international connection for redundancy to
ensure business continuity to enable SADAC and global community to exchange
data on climate and weather.The current contract is comming to an end on 30
June 2023. To ensure uninterrupted internet connectivity and Sanren service to
SAWS, especially additional fibre connectivity to the Tenet network to allow for full
redundancy for SAWS internet access, Sanren and SD-WAN requirements for
DR connectivity in Cape Town",2023/06/26,2023/07/01,2026/06/30
47,Q2 2023/24,,New,2023/07/13,South African Weather Service,Procurement of office accommodation from Gert Sibande Municipality at Ermelo office,Gert Sibande Municipality,"R1 144 002,89","Continuation of service -Gert Sibande Municipality and SAWS entered into a 3
months from 1 July 2023 to 30 September 2023 to allow the Municipality to table
te contract to the Council first, await approved tarrifs from te Council and also
allow for public views/participation on the proposed procurement .Taking into
consideration the complex requirements to accommodate the radar sites and the
cost of relocating the radar equipment and was compared to the annual rental
cost, it will be impractical to invite competitive bids at this stage",2023/06/28,2023/07/01,2026/06/30
