Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Airports Company South Africa,"Prepare and submit an application for the subdivision, rezoning and/or consent used of the
subdivided portion of Cape Farm 544-RE","Visionplan CC t/a NM Associates Planners and
Designers","1,115,500.00",Continuity of service,Conditional support,2019/10/01,2021/09/30
2,Armscor,"Request for closed bid approval for Stores cleaning materials , Stores Stationery , Stores
and dry goodsand promotional items",Not stated,"14,000,000.00",Closed bid to empower BBBEE sectors,Not supported,Not Stated,Not Stated
3,Arts and Culture,Editing and reprinting of Dr Ester Mahlangu's book,Flow Communications,"71,679.50",Single Source procurement method,Supported,Once off,Once off
4,Basic Education,Modernisation of SA School Administration and Management System,National Education Collaboration Trust (NECT),"1 00,000,000.00",SITA process was unsuccessful,Closed,Not Stated,Not Stated
5,Basic Education,Provision of Braille English and Afrikaans textbooks,Blind SA and Pioneer Printers,"1 6,716,248.59",Court Order,Supported,2019/10/14,2021/12/31
6,Basic Education,Closed tender for Microsoft Campus Licensing Agreement,Various Suppliers,"4 ,817,342.93","Only accredited Microsoft Licensing Solution Providers
in SA",Supported,Not Stated,Not Stated
7,Basic Education,Implementation of SAFE Initiative,National Education Collaboration Trust (NECT),0.00,"Has Illustrated capacity and capability to perform as an
Implementing Agent",Supported,Not Stated,Not Stated
8,Broadband Infraco,Lease of Fibre Optical Core for 389.2 KM,Eskom,"35,175,460.07",Single Source procurement method,Supported,Date of approval,2024/08/31
9,Broadband Infraco,Purchasing of Gold subscription,BMIT Research and Consulting,"538,200.00",Single Source procurement method,Not supported,2019/09/01,2020/09/31
10,CCMA,"Lease of office accomodation-Mbombela, Polokwane, Tzaneen and East London",Closed Bid,0.00,Closed bid,Supported,Not stated,Not stated
11,Competition Commission,Notice of appeal with the Comptition Appeal Court,ADVOCATE Viwe Notshe,"500,000.00",Single Source procurement method,Supported,Date of approval,Not stated
12,Competition Commission,"Representation for the matter between the Commission and Bank of America Merill Lynch
INT Ltd and 22 other banks",Financial Experts,"500,000.00",Single Source procurement method,Supported,Date of approval,Not stated
13,Correctional Services,Contract register services,Not stated,0.00,Impracticality,Conditional support,Not stated,Not stated
14,Council for Geoscience,"Procurement research and education network (REN) services provided on the South African
Research and Education Network (SANReN) infrastructure",TENET,"2 ,265,272.38",Sole source procurement,Noting,Not Stated,Not Stated
15,Council for Medical Schemes,Insurance Brokerage services,African Dawn Risk Solutions (Pty) Ltd,"5 84,587.00","Due to limited time to re-advertise the tender and
appoint before end of December 2019",Supported,2020/01/01,2020/12/31
16,DBSA,"Conduct operationalisation, energy trading and risk management",CTRM Advisory,"15,160,000.00",Single Source procurement method,Not supported,Date of approval,12 months
17,Denel,Shorter advertisement period,Not stated,0.00,Meet client's deadline,Conditional support,Not Stated,Not Stated
18,Denel,Manpower to Operator Simulator,Rubika Support System,"115,115.00",Preferred Supplier,Conditional support,Not Stated,Not Stated
19,Denel,Armoured Glass Windows for RG31 Mk5E and Spares,SA Bullet,"5,116,287.00",Industrialised Supplier,No Finalised,Not Stated,Not Stated
20,Denel,Supplier of Rubber and Foam Components For RG31 Mk5E APC Vehicles and Spares,Sondor Industries,"5,116,2287.00",Industrialised Supplier,No Finalised,Not Stated,Not Stated
21,Denel,SAP Functional Support,EOH Ltd,"1,117,200.00",Preferred Supplier,Not supported,7 months,2020/03/31
22,Denel,Conditioning Kit For RG31 MK5E APC Vehicles and Spares,Booyco,"4,739,295.00",Industrialised Supplier,,Not Stated,Not Stated
23,Denel,African Standby Force Command Control Communication Information System (ASFC3IS),"Global Command and Control Technologies
(Pty) Ltd","70,000,000.00",Preferred Supplier,within AA/AO mandate Noting,Not Stated,Not Stated
24,Denel,Rewinding of 2 Alternators,J Schipper & Son's,"37,755.46",Preferred Supplier,within AA/AO mandate Noting,Not stated,Not stated
25,Denel,Armoured Glass Windows for RG31 Mk5E and Spares,SA Bullet,"6,268,647.00",Industrialised Supplier,Conditional support,Not stated,Not stated
26,Denel,Supplier of Rubber and Foam Components For RG31 Mk5E APC Vehicles and Spares,Sondor Industries,"5,116,2287.00",Industrialised Supplier,Conditional support,Not stated,Not stated
27,Denel,Conditioning Kit For RG31 MK5E APC Vehicles and Spares,Booyco,"4,739,295.00",Industrialised Supplier,Conditional support,Not stated,Not stated
28,Denel,Spall Liners,Bullet Proofing Technologies,"8,124,612.21",Industrialised Supplier,Conditional support,Not stated,Not stated
29,Denel,Air Charter Services For Cargo,Shortened advertisement period,"3,500,000.00",Meet shipping deadline,Conditional support,Not stated,Not stated
30,Denel,Kamas Program Obsolescence Report,LMS,"61,468.73",Continuity of service,"Within AA/AO mandate
Noting",Not stated,Not stated
31,"Department of Agriculture, Forestry
and Fisheries",Fund manager,Land Bank,0.00,Only legally mandated to offer the service,Closed,Not Stated,Not Stated
32,"Department of Justice and
Constitutional Developmnent",Legal Publications,"Lexis Nexis, Juta and Sabinet","30,000,000.00",Sole procurement method,within AA/AO mandate Noting,2019/08/01,2019/09/30
33,Department of public enterprises,Alternative Office Accomodation,Not stated,0.00,Emergency procurement method,"Within AA/AO mandate
Noting",Not Stated,Not Stated
34,Department of Public Enterprises,Restructuring of South African Airways SOC Ltd,Seabury Consulting,0.00,Continuation of work,Conditional support,Not stated,Not stated
35,Department of public enterprises,Development of a State Owned Companies’ (SOC) Risk and Integrity Framework,GTAC,"1,838,592.00",Expertise,Conditional support,2019/12/01,2020/05/30
36,Department of Transport,Collection of debts via Debt Collectors,Not stated,Not Stated,The State Attorney is limited to collect debts.,Supported,Not Stated,Not Stated
37,Department of Transport,Provide support in terms of project management expertise to PRASA on capital projects.,Development Bank of Southern Africa,0.00,DBSA offers Prasa below market related fees.,Not Supported,Not Stated,Not Stated
38,"Deputy National Director of Public
Prosecutions",National Library Subscription,Lexis Nexis (Pty) Ltd,"3,628,381.00",Sole procurement method,within AA/AO mandate Noting,Not stated,Not stated
,"Deputy National Director of Public
Prosecutions",Annual Licence for Assetware,TAT-i-Chain Technologies,"1,406,077.63",Sole procurement method,within AA/AO mandate Noting,2019/06/01,2022/05/31
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
