5.5.1 GOVERNANCE MONITORING AND COMPLIANCE: 2018/2019 QUARTER 3 (OCTOBER - DECEMBER 2018) REPORT DEVIATIONS,,,,,,,,,
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommended by
AO/ AA","not supported/not
supported/Conditional
supported
(Use","Contract start date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,Agricultural Research Council,Automated CFT Assay DAN extract system.,Separations,"2,875,000.00",Sole supplier,2018/10/02,Noting,Not stated,Not stated
2,"Agriculture, Forestry and Fisheries",Provision of laboratory services,None,None,Two tender processes resulted in non-responsive bids.,2018/09/17,Not Supported,Not stated,Not stated
3,"Agriculture, Forestry and Fisheries",Survey,HSRC,"68,195,000.00",Stats prohibited to disclose data,2018/10/02,Conditional support,Not stated,Not stated
4,"Agriculture, Forestry and Fisheries",Subscription to Fire Protections Associations,Fire Protections Associations,"19,373,382.00",Legal requirement,2018/10/16,Closed,N/A,N/A
5,"Air Traffic and Navigation Services Company
Limited",Construction of monitor control centre,The Study Gap (Pty) Ltd,"60,087,024.02",Specialist services,2018/10/05,Not Supported,Not stated,Not stated
6,Amatola Water Board,"PSP for the completion of the development of the Amatola Water Infrastructure
Master Plan (AWIMP) and associated work",Sawe Engineering Solutions (Pty) Ltd,"7,833,756.00",Continuity of service,2018/10/16,Not Supported,Not stated,Not stated
7,Artscape Theatre Centre,External Audit Services,Nexia SAB & T,0.00,Pass over of KPMG due to reputational risk,2018/10/03,Noting,Not stated,Not stated
8,Automotive Industry Development Centre,"Sourcing funding of R450 000 000.00 VAT exclusive for the proposed expansion
of the Automotive Supplier Park Pretoria North.",Public Investment Coorporation,"4,500,000.00",PIC meets the legal requirements of AIDC,2018/10/02,Conditional support,Not stated,Not stated
9,Brand South Africa,To provide services of a presiding officer in a disciplinary hearing,Silinda & Attorneys Inc,"5,405.00 per hour",RFQ procurement method,2018/11/19,Not Supported,Not stated,Not stated
10,Brand South Africa,Website hosting services,Hetzner,"210,000.00",Non responsive bidding process,2018/12/11,Not Supported,2019/01/01,2023/12/31
11,Brand South Africa,To act as initiator in the disciplinary proceedings,ENS Africa,"1,000,000.00",To represent Brand SA on previous charges,2018/10/05,Supported,Not stated,Not stated
12,CIPC,Printing and Posting of annual return deregistration letters,SAPO,"28,000,000.00",SAPO manages bulk postal services in SA,2018/11/19,Conditional support,N/A,2021/03/31
13,Competition Commission,Legal case of predatory pricing,Advocate Tembeka Ngcukaitobi,"500,000.00",Single source,2018/10/04,Supported,From date of approval,Once off
14,Competition Commission,Conduct market concentration analysis and Geo-mapping,Riskscape,"1,500,000.00",Single source,2018/10/30,Supported,Date of approval,2019/03/31
15,Construction Industry Development Board,Processing of transactions via the internet,Closed bid process,"2,000,000.00","Entity banks with Standard Bank. Merchants accredited
by SBSA",2018/11/21,Supported,2019/01/01,2024/12/31
16,Council for Medical Schemes,Advertisiments,Independent NewsPapers,"917,035.00",Sole supply,2018/11/05,Conditional support,2018/11/15,2018/12/31
17,Council for Scientific and Industrial Research,2nd West Africa Cable System (WACS),Broad Band infraco SOC,"50,532,934.00",Consortium Proxy,2018/08/30,Supported,Not stated,Not stated
18,Council for Scientific and Industrial Research,Strategy implementation,A.T Kearney,"14,800,000.00",Continuity of service,2018/11/08,Conditional support,Not stated,Not stated
19,Council of Geoscience,"Supply, Support and Maintenance of internet connectivity and related services",Internet Solutions,"1,902,279.00","SITA and CGS is in athe process of concluding the
business agreement",2018/10/31,Not Supported,2018/11/01,2019/10/31
20,South African National Parks,To conduct forensic investigation,Nexia SAB & T,"1,360,460.00",Continuity of services,2018/09/17,Not Supported,Not stated,Not stated
21,Council of Geoscience,"For the supply, support and maintenance of internet connectivity and related
services",Closed bid process,0.00,Urgency procurement method,2018/11/27,Supported,2019/04/01,2020/03/31
