Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recom
meded by
AO/ AA","Supported/ Not
supported by NT","Contract start
date",Contract expiry,
AEMFC,Renting of front end loaders (FELs) from Barloworld,Barloworld,Not stated,Continuity of service,2016/08/23,Supported,Not stated,Not stated,
"Agriculture, Forestry and Fisheries","Conduct research in relations to Operation Phakisa: Agriculture, Land Reform and Rural Development",National Agricultural Marketing Council (NAMC),"3,398,231.00","To fast-track the research of the Operation
Pakhisa Project,",2016/08/23,Supported,No stated,Not stated,
"Agriculture, Forestry and Fisheries","Provide strategic, legal and litigation advisory services",Emang Basadi Legal and Forensic services (Pty) Ltd,Not stated,Urgent need,2016/08/23,Supported,Not stated,Not stated,
"Agriculture, Forestry and Fisheries",Purchase of Seedlings,Ezigro Seedlings,"6,145,551.95","Closed bid to registered nurseries for the
supply of seedlings",2016/02/09,Supported,Not stated,Not indicated,
Arts and Culture,Re-opening of Bhunga Building and Relaunch of Nelson Mandela Museum,Hybrid Communications,"2,330,990.00","The validity of the reason could not be
assessed because documents were not
provided",7/20/2016,Not supported,Once off,Once off,
CBE,Appointment of an Appeal Committee,Not stated,"200,000.00",Litigation process ongoing,9/20/2016,Supported,once-off,once-off,
CIPC,Provision of dedicated virtual private nertwork,SITA,"5,466,618.84",Sole source,2016/04/22,Noted,Not stated,Not stated,
CIPC,Renewal sword SA of sorftware license,Sword SA,"4,974,604.35",Sole source,2016/04/22,Noted,Not stated,Not stated,
CIPC,Provision of computron licensing and gold support services,GEN 2 Enterprise software SA (Pty) Ltd,"1,435,183.52",Sole source,2016/04/22,Noted,Not stated,Not stated,
COGTA,"Publication of (Draft Local Government: Municipal Staff Regulations and Draft Local Government:
Guidelines for Implementation of the Municipal Staff Regulations) notices",Government printing Works,"774,000.00",Sole source,2016/08/25,Supported,Not stated,Not stated,
Compensation Fund,Lease of ABSA Towers,Somnipoint (Pty) Ltd,"3,398,500.00","Request for accomodation while refurbishing
existing building",2016/07/26,Supported,Once off,Once off,
Compensation Fund,Tailored GRAP training for CD: Finance,Ducharme,"450,870.00",Single source,2016/09/08,Supported,Once off,Once-off,
Council for Medical Schemes,Deviation from appointing highest scoring supplier for Media monitoring services,Market IQ and Omico Group,"865,373.82","Highest bidder unable to provide full social
media campaign tracking",2016/08/01,Not supported,Not stated,Not stated,
Council for Medical Schemes,Deviation to appoint LexisNexis,LexisNexis,"272,746.58",Sole source,2016/08/16,Supported,Not stated,Not stated,
CSIR,VAT treatment,KPMG,"150,000.00",Continuity of service,2016/09/29,Supported,Not stated,2016/06/30,
DBSA,Ekurhuleni Metropolitan Municipality (EMM) for the PRASA Gibela Bulk Services Project,DBSA: AECOM,"12,543,263.00",Single source: Tender-Process-In-Progress,2016/07/12,Supported,Not stated,2016/07/13,
DBSA,DBSA SAP support,Gijima Holdings (Pty),"544,200.00",Delays in evaluation process for new bid,2016/09/15,Supported,2016/10/01,2017/03/31,
DBSA,DBSA SAP support,Deloitte,"1,206,000.00",Delays in evaluation process for new bid,2016/09/15,Supported,2016/10/01,2017/03/31,
DBSA,DBSA SAP support,Ernest & Young,"676,266.67",Delays in evaluation process for new bid,2016/09/15,Supported,2016/10/01,2017/03/31,
DHA,Provision of support services for connectivity,Internet Solutions,"747,338.40",Sole source,2016/03/22,Supported,Not stated,Not stated,
DHA,Renewal of Microsoft and Licence Agreement,Microsoft,"172,189,975.54",Continuity of service,2016/03/22,Supported,Not stated,Not stated,
DOT,Participate on an existing contract,Department of Transport KZN,Not stated,Continuity of service,Not stated,Not supported,Not stated,Not stated,
DTI,Procurement of venue and facilities for the SACU Summit,Not stated,Not stated,"Urgent need and safety and security of the
venue for a state summit.",Not stated,Conditional support,Not stated,Not stated,
Environmental Affairs,Appointment of SABC as a single source for COP17,SABC,"1,500,000.00",Broader media coverage,9/21/2016,Supported,once-off,once-off,
Environmental Affairs,School awareness prizes for schools participating in the Sasol challenge,Makro,"200,000.00",Single Source,9/27/2016,Supported,9/24/2016,10/1/2016,
Environmental Affairs,Catering Services,Advanced Energy Foundation,"200,000.00",Single Source,9/27/2016,Supported,9/27/2016,10/1/2016,
Eskom,Advisory and consulting services for the Kusile Power Station Project,Binnington Copeland and Associates (Pty) Ltd,"266,290,094.84",Need for specialized legal services,2016/09/12,Conditional support,Not stated,Not stated,
Eskom,Consultation and training at both Medupi and Kusile Projects,Intervention Advisors Barleda Joint Venture (IAB JV),Not stated,Continuity of service,2016/09/14,Conditional support,Not stated,Not stated,
Eskom,Solicit goods and services from a limited number of suppliers for group IT division,"Datacentrix (Pty) Ltd, Dimension Data (Pty) Ltd, Sithabile
Technology Services (Pty) Ltd and Storage Technology Services
(Pty) Ltd","90,579,734.00","Limited bidding process will be followed on the
selected suppliers",2016/09/07,Conditional support,Not stated,Not stated,
Eskom,"Solicit services from limited number of contractors for the provision of an Interim Activity Rate Panel
Contract",Various contractors,Not stated,"Urgency to meet the electrification target for the
2016/17 financial year",2016/09/14,Conditional support,2016/10/01,2017/06/30,
Eskom,"Solicit goods and services from a limited number of suppliers for various electrification projects within
the Mpumalanga Operating Unit",Various contractors,"154,000,000.00",Continuity of service,2016/09/23,Conditional support,2016/10/01,2017/03/31,
Eskom,"Solicit goods and services from a single supplier for protection, telecontrol and substation automation
equipment for Pinotage Trasmision Substation",Simens (Pty) Ltd,"11,365,420.37","To align procurement of additional equipment
of the Pinotage project with new contract
commencement",2016/09/21,Supported,Not stated,1 year,
Eskom,Solicit goods and services from a single supplier for the customer services groups within Eskom,Vogue HR Services cc,2 000 000.00,Sole source,2016/09/23,Not supported,Not stated,Not stated,
ETDP SETA,Implement a Library Practice Learning Programme,BEPE Developments in Education and Training,"780,000.00",Limited training providers accredited in SAQA,9/15/2016,Not supported,Once off,Once off,
FIC,Media Procurement,Identified Publications &Websites,"1,009,026.00",Specialized media & limited suppliers,2016/07/05,Supported,2016/09/01,2019/08/30,
FIC,Supply and install additional air conditioning units in the strongrooms,Centurion Vision Development,"340,000.00","Stipulated as a condition on the lease
agreement",2016/07/04,Supported,2016/09/01,2019/09/12,
FIC,"Supply of Licenses, software and hardware of ABBYY Tool.",Deltalink Consulting,"470,230.00",Sole source,2016/09/01,Supported,2016/09/01,2019/08/30,
FIC,Adverisement of vacancies on various on multiple sources,PNET; Career Junction & Careers 24,"190,000.00",multiple source basis advertisements,2016/07/21,Supported,Not stated,3 years,
Film and Publication Board,Appointment of a private consultant to establish a regional content regulation framework,Mr Malesela Kekana,"720,000.00",Continuity of service,undated,Not supported,Once off,Once off,
FSB,National Travel Policy,Westin Hotel,"17,240.00","Accomodation within perimeter of conference
to reduce risk",7/22/2016,Supported,Once off,Once off,
FSB,Inspection services into the cancelliation of deregistered funds,Jonathan Inc.,"1,225,784.00","Lawfulness of the cancellation of the
registration of pension funds",2016/09/22,Supported,Once off,Once off,
GCIS,SALGA Showcase Campaign,Various media,"1,543,245.00",Radio to reach targeted Provinces,5/16/2016,Supported,Once off,Once off,
GCIS,Placement of GGDA-Trade and Investment Promotion,Various media,"855,000.00",Relevant media to reach target audience,7/7/2016,Supported,Once off,Once off,
GCIS,Placement of COGTA-Community Work Programme,Various media,"4,025,886.00",Relevant media to reach target audience,7/26/2016,Supported,8/15/2016,10/15/2016,
GCIS,Compensation Fund-Beneficiaries,Various media,"3,067,923.77",Relevant media to reach target audience,7/22/2016,Supported,8/1/2016,8/31/2016,
GCIS,Compensation Fund-ROE:Final Reminder Campaign 2016,Various media,"1,172,439.95",Relevant media to reach target audience,8/11/2016,Supported,8/1/2016,8/31/2018,
GCIS,Department of Labour-Employment Equity Roadshow 2016,Various media,"1,060,063.20",Relevant media to reach target audience,8/17/2016,Supported,8/18/2016,9/29/2016,
GCIS,Department of Home Affairs - Smart ID roll-out,Various media,"1,567,932.06",Relevant media to reach target audience,8/18/2016,Supported,8/18/2016,9/4/2016,
GCIS,Compensation Fund-Beneficiaries Campaign 2016,Various media,"3,528,374.46",Relevant media to reach target audience,9/2/2016,Supported,8/1/2016,9/30/2016,
GCIS,Compensation Fund-Employees Education Campaign 2016,Various media,"2,733,211.70",Relevant media to reach target audience,9/2/2016,Supported,8/1/2016,10/30/2016,
GCIS,RAF - RAF Marketing Campaign 2016/2017 - Youth month,Various media,"1,390,120.20",Relevant media to reach target audience,6/3/2016,Supported,6/9/2016,7/20/2016,
GCIS,GGDA - Trade and Investment Promotion,Various media,"4,564,562.83",Relevant media to reach target audience,5/27/2016,Supported,Once off,Once off,
GCIS,SALGA - Profiling Phase 2,Various media,"2,004,317.10",Relevant media to reach target audience,7/1/2016,Supported,Once off,Once off,
GCIS,Compensation fund: Employee Education Campaign,Various media,"4,986,167.57",Relevant media to reach target audience,7/1/2016,Supported,Once off,Once off,
GPAA,Design of name badges,Think Tank Creative Solutions,"3,249.00",Design of name badges artwork,2016/09/06,Supported,Once off,2018/03/31,
GTAC,Appointment of ICT Resources - 24 months,Exponant (Pty) Ltd,"1,578,124.80",Continuity of service,2016/07/04,Supported,2016/07/01,2018/09/07,
Health,Hosting and support the MCC Website,E2Solutions,"47,880.00",Single Source,2016/08/05,Supported,2016/08/01,2017/07/31,
Health,"Renewal of Premium Online, Social Media and Reporting Solution license",Meltwater South Africa (Pty) Ltd,"283,860.00",Licence renewal,2016/09/01,Supported,2016/09/01,2017/08/31,
Health,Renewal of Asset Ware Software Licences,TAT I-China Technologies (Pty) Ltd,"351,402.72",Licence renewal,2016/09/19,Supported,2016/04/01,2017/03/31,
Health,Renewal of Caseware Licence,CQS Technology Holdings (Pty) Ltd,"56,386.68",Licence renewal,2016/09/19,Supported,2016/10/01,2017/09/30,
Health,Provide alternative chronic medication acess programme for public sector patients,Pharmacy Direct; Medipost; Optipharm and Medirite,Not stated,"Department in the process of developing terms
of reference and contracting mechanisms.",2016/09/07,Supported,2017/02/01,2017/07/31,
Higher Education and Training,Compulsory Induction Programme for newly employed officials into public service,National School of Governament,"1,508,749.92","The National School of government has been
tasked to develop the CIP",5/14/2016,Supported,Not stated,Not stated,
Higher Education and Training,National Artisan Development Strategy consultative Roadshows Programmes,Sunday Times,"179,247.33",Relevant medium to reach target audience,8/24/2016,Supported,Once off,Once off,
Higher Education and Training,National plan of Post School Education and Training,SSACI and IPSS,"450,000.00",Continuity of service,unsigned,Supported,Once off,Once off,
Higher Education and Training,Advertising of vacancies for council members,Times Media,"56,785.68",Relevant medium to reach target market,9/20/2016,Supported,Once off,Once off,
Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recom
meded by
AO/ AA","Supported/ Not
supported by NT","Contract start
date",Contract expiry
Higher Education and Training,Evidence based policy making and implementation executive course,University of Cape Town,"57,000.00","Partnership between department of PME and
School of Development Policy and Practice",9/17/2016,Supported,Once off,Once off
Higher Education and Training,Hosting of the National Career advice Portal,MWEB,"112,014.13","Department is in the process of migrating and
transferring data from MWEB Business",7/27/2016,Supported,9/1/2016,10/31/2017
Higher Education and Training,Editing of examination papers,J Coetzee,"445,299.00",Single source,9/21/2016,Supported,10/1/2016,9/30/2017
Higher Education and Training,Coaching and Mentorship Training,National School of Governament,"158,895.00",Coaching and mentoring in the Public Service.,9/26/2016,Supported,Once off,Once off
Higher Education and Training,Catering,Nto's Catering,"105,792.00",Highest bidder unable to provide service,9/28/2016,supoported,Once off,Once off
Higher Education and Training,Risk management regarding fees must fall,Indigo Horizons Consulting,"40,000,000.00",Confidentiality of the task,9/16/2016,Not supported,11/1/2016,10/31/2018
Higher Education and Training,Commission of the community radio station,Placement in fifty two radio stations through GCIS,"2,944,000.00",To broadcast Khetha Community Radio,9/29/2016,Supported,Once off,Once off
Higher Education and Training,"Print, pack, consolidate and delivery examination papers",Governement Printing Works,"9,363,072.74","Government printing works price
reasonableness",9/9/2016,Supported,10/1/2016,9/30/2020
Higher Education and Training,Live broadcasting at the mass career exhibition in Ezibeleni,SABC Umhlobo FM,"205,200.00",Relevant medium to reach target audience,unsigned,Supported,Once off,Once off
Higher Education and Training,Advertisement of vacant postions,Times Media -GCIS,"260,357.76",Relevant medium to reach target audience,9/9/2016,Supported,Once off,Once off
Home Affairs,"Support of connectivity between the department and the Advanced Passenger Processing System
(APP)",Internet Solutions,"747,338.40",Participation on a SITA transversal contract,2016/09/29,Supported,Not stated,Not stated
HSRC,Lease agreement,Bursa Property Investment (Pty) Ltd,"25,019,694.35",Competitive bid process was not succesful,2016/08/31,Supported,Not stated,Not stated
HSRC,Space planning and refurbishment,Go Green,"10,163,353.72",Continuity of service,2016/08/31,Supported,Not stated,Not stated
HWSETA,Provincial office accomodation in Bloemfontien and Mafikeng,Total Mafikeng Complex 4 Nobel Street,"567 976.50
540 312.53",Collaboration of services with other SETA's,9/21/2016,Supported,8/1/2016,7/31/2017
IPID,Travelling First Class to International Conference,Travel with Flair,"153,362.33","Airlines travelling between Atlanta and
Albequerque only offer first class",2016/07/27,Supported,Once off,once-off
"Justice and Constitutional
Development",Specific resource skills (IJS Programme),Gijima Holdings (Pty) Ltd,"654,396.26","Continuation of service and finalisation of
tender process",2016/06/28,Supported,2016/07/07,2016/10/30
"Justice and Constitutional
Development",Specific resource skills (IJS Programme),Mpamba Solutions and Consulting (Pty) Ltd,"417,245.85","Continuation of service and finalisation of
tender process",2016/06/28,Supported,2016/07/07,2016/10/30
"Justice and Constitutional
Development",Specific resource skills (IJS Programme),Morvest Professional Services (Pty) Ltd,"2,068,675.56","Continuation of service and finalisation of
tender process",2016/06/28,Supported,2016/07/07,2016/10/30
"Justice and Constitutional
Development",Specific resource skills (IJS Programme),EOH Abantu,"1,096,596.92","Continuation of service and finalisation of
tender process",2016/06/28,Supported,2016/07/07,2016/10/30
