Number,Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recommeded by
AO/ AA","Supported/ Not
supported by NT",Contract start date,Contract expiry
1,AEMFC,Leasing of office space for 10 years,ATTACQ,"145 000,00",Sole source,2016-10-14,Conditional support,Not stated,Not stated
2,AEMFC,"Resolve the institution's challenges with the Compensation
Fund mine classification.",EasiCOID: Mr Patrick Mphafudi,"98 000,00",Continuity of service,2016-11-09,Not supported,Not stated,Not stated
3,Basic Education,"Change of scope of work to include the management of
unallocated schools in the Eastern Cape",Various Implementing agents,"0,00",Expansion of scope,2016-11-30,Conditional support,Not applicable,Not applicable
4,Basic Education,Reallocation of 20 inappropriate schools projects,IDT and NDPW,"0,00","Poor performance by appointed
service provider",2016-11-30,Conditional support,Not applicable,Not applicable
5,Basic Education,Reallocation of water and sanitation projects,IDT and CSIR,"0,00","Poor performance by appointed
service provider",2016-11-30,Conditional support,Not applicable,Not applicable
6,BOXING SA,Lease of office space,City Peaks,"1 473 562,08","Competitive bidding process not
possible",2016-10-06,Supported,2016-10-01,3 Years
7,CBE,Travel Management Services,Nexus Travel,1 800 000.00,"Finalising transversal management
contract for travel management
services",2016-11-01,Supported,Not stated,Not stated
8,CBE,"To perform preliminary investigation on a fraud and
corruption incident reported on the hotline",Mazars,25 000.00,The confidential nature of the case,2016-11-08,Supported,Not stated,Not stated
9,CET,Office space,JHI,Not stated,"Urgency- current location that is being
used poses a risk to business and
staff.",2016-12-12,Supported,2017-01-19,2022-01-18
10,COGTA,Renewal of annual subscription membership fee,HIS Information & Insight (Pty) Ltd,"527 250,00",Continuity of service,2016-10-18,Supported,Not stated,Not stated
11,Council for Medical Schemes,"Appointment of KPMG to provide technical opinion on
Community Medical Aid Scheme Financial Statements",KPMG,"57 000,00",Continuity of service,2016-10-17,Not supported,Not stated,Not stated
12,Cross Boarder,Office accommodation for head office,Erf 49 Menlyn (Pty) Ltd,701 153.31 pe month,Continuity of lease,2016-11-30,Conditional support,2016-12-01,2019-11-30
13,DAFF,Security services,None,"0,00",Urgent requirement,2016-10-11,Conditional support,Not stated,Not stated
14,DAFF,"Provision of legal, litigation and advisory services to other
departments","Emang Basadi Legal and Forensic
Services (Pty) Ltd","6 000 000,00",Single source,2016-11-11,Not supported,Not stated,Not stated
15,DAFF,Legal advisory service,"appoint Emang Basadi Legal and
Forensic Services (Pty) Ltd","3 000 000,00",Continuity of service,2016-12-07,Not supported,Not stated,Not stated
16,DAFF,Support implementation management of Operation Phakisa,GTAC,"9 190 944,00","Competitive bidding process not
successful",2016-12-19,Not supported,Not stated,Not stated
17,DBSA,"Development of renewable energy funding and delivery
mechanism",CSIR,"631 377,60","Technical specialist on DWP Green
building projects",2016-10-12,Supported,2016-10-21,Six months
18,"Deparment of Rural Development
and Land Reform",Recapitalization and development programme (RADP),Appointment process not finalised,"0,00","Urgent requirement for planting
season",2016-11-04,Supported,Not stated,Not stated
19,"Deparment of Rural Development
and Land Reform",Perform impact evaluation of the Restitution Programme,SALDRU,"33 200 000,00",Continuity of service,2016-11-14,Conditional support,Not stated,Not stated
20,"Department of Rural Development
and Land Reform",Provision of legal and labour services,"Integrated Forensic Accounting
Services (Pty) Ltd","751 485,00",Continuity of service,2016-10-12,Supported,Not stated,Not stated
21,DLTC,Licence card production and maintenance,Matupunuka ICT Trading,3 519 310.95,Continuity of service,2016-05-05,Not supported,2016-06-05,2016-08-31
22,DST,Compile two biennial reports,Academy of Science of SA,"1 897 060,00",Single source,2016-09-21,Conditional support,Not stated,Not stated
23,DWS,To investigate allegations of procurement irregularities,Ernest and Young,"0,00",Sole source,2016-09-28,Not supported,Not stated,Not stated
24,DWS,Provision of travel lodge card,Nedbank - American Express,"0,00","Delays in payments of the current
service providers impact negatively on
its performance",2016-10-24,Not supported,Not stated,Not stated
25,DWS,"Design and conduct site supervision for the rehabilitation
and completion of various dams and Irrigation schemes",GIBB/Knight Piesold Joint Venture,"0,00",Continuity of service,2016-11-08,Not supported,Not stated,Not stated
26,DWS,"Design, contract documentation and construction
supervision for the rehabilitation at the Rietspruit Dam",Royal HaskoningDHV,"1 116 900,00",Continuity of service,2016-11-24,Conditional support,Not stated,Not stated
27,Eastern Cape Premier's office,"Delivery and installation of 130 prefarbricated school
classrooms and furniture: Port Elizabeth & Uitenhage",process not finalised,"0,00",Emergency service,2016-10-20,Conditional support,Not stated,Not stated
28,Environmental Affairs,An expert in criminal proceedings,Eckhard Volker,478 900.00,urgency,2016-09-12,Supported,Once-off,Once-off
29,Environmental Affairs,Organisational and Team dynamics development,Ian Widdop and Consultants,480 000.00,single source,2016-11-10,Supported,2016-11-01,2017-05-31
30,Environmental Affairs,"Partner to deliver advanced Environmental Management
Inspectorate (EMI) to Grade 5 EMI field rangers",Endangered Wildlife Trust,495 900.00,Single source,2016-11-09,Not supported,2016-11-30,2018-05-31
31,Environmental Affairs,"Assess the human health impact of air pollution in the
Highveld Priority Area","Council for Science and Industrial
Research (CSIR)",5 546 342.17,"The competitive bidding process was
non-responsive",2016-01-28,Supported,Not stated,Not stated
32,Eskom,"Software & Hardware for meetings and document
collaboration solutions for Board members",Great-Soft (Pty) Ltd,"111 800 480,00",Sole supplier,2016-10-03,Supported,Not stated,Not stated
33,Eskom,Fresh fuel reception services,Lesedi Nuclear Services,"957 793,00",Single source,2016-11-07,Conditional support,Not stated,Not stated
34,Eskom,"Supply of software engineering services for access control
system",Process Computing Technology,"4 500 000,00",Single source,2016-11-07,Conditional support,Not stated,Not stated
Number,Department/ Entity,Project Description,Supplier,Value of Contact,Reason for Deviation,"Award/recommeded by
AO/ AA","Supported/ Not
supported by NT",Contract start date,Contract expiry
35,Eskom,"Maintanance of control plant departmen and data
acquisition systems",MTN (Pty) Ltd,"1 200 000,00",Continuity of service,2016-11-17,Supported,Not stated,Not stated
36,Eskom,Lease of office space: Kuruman (Northern Cape),Harry Leach Trust,"977 184,84",Additional space required,2016-10-31,Conditional support,3 years,Not stated
37,Eskom,Software license maintenance and support,"Powertech Systems Integrators
(Pty) Ltd","11 219 672,00",Continuity of service,2016-10-06,Conditional support,12 months,Not stated
38,Eskom,"Software licenses and support for Charter Max and Ops X
systems",Softmax Software Solutions,"335 380,00",Single source,2016-10-06,Conditional support,3 years,Not stated
39,Eskom,"Partnership agreement negotiation consultation and training
contract",IAB JV,"11 350 790,00",Continuity of service,2016-12-07,Supported,Not stated,Not stated
40,Eskom,"Maintenance and support of Graphical Information Systems
(SmallWorld) licenses","Powertech Systems Integrators
(Pty) Ltd",Not specified,Single source,2016-10-06,Conditional support,Not stated,12 months
