Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
1,"African Explaration Mining and
Finance Corporation (AEMFC)","Provision of training to leaners in compliance with its BBBEE and Social Labour
Plan provisions",Colliery Training Centre,"7 37,610.00","Supplier met all the technical, proximity
and financial requirements .","Within AA/AO mandate
Noting",Not stated,Not stated
2,"Agriculture, Forestry and Fisheries",Advertising service,Various suppliers,Not Stated,Unpractical to invite competitive bids,Supported,Not stated,Not stated
3,Air Chefs,Food Category,"OEM's , Producers & Manufacturers",Not stated,"Approach suppliers that complu with Food
Safety Management System",Conditional support,Not stated,Not stated
4,Alexkor,Rehabilitation of Richersfield mine area,PSJV,Not stated,Court order,Not supported,Not stated,Not stated
5,Amatola Water Board,"Publishing of Amatola Water(AW) services and its presence in the Eastern Cape
Province",Global Africa Network Magazine,"4 5,942.50",Single sourcing,"Within AA/AO mandate
Noting",Once-Off,Once-Off
6,Amatola Water Board,"Publishing of Amatola Water services and its presence in the Eastern Cape
Province",Public Sector Manager Magazine,"4 6,000.00",Single sourcing,"Within AA/AO mandate
Noting",Once-Off,Once-Off
7,Amatola Water Board,Rental of office space for a period of 3 (three) months,"MBB Consulting Service (EC) (Pty)
Ltd","2 0,000.00",Single sourcing,"Within AA/AO mandate
Noting",2019/04/01,2019/06/30
8,Basic Education,"Technical support for the implementation of the Systemic Evaluation model in
South Africa","Australian Council for Education
Research (ACER)","1 3,374,685.00",Lack of local market expertise,Noting,Not stated,Not stated
9,Brand SA,Subcription of Nation Brand,Nation Brand Index (NBI),USD 49 500,Sole supplier procurement method,Not supported,2018/2019,2018/2019
10,Central Energy Fund (Pty) Ltd,"Review and guide the operational repositioning of the technical, technology,
planning and optimisation areas of work",Sasol and Honeywell UOP,"2 0,000,000.00","Sasol and Honeywell UOP possess
experience on gas to liquids refinery",Not supported,Not stated,Not stated
11,Competition Commission,Merger of MIH eCommerce and Webuycars,Adv Tembeka Ngcukaitobi,"3,000.00 p/h",Single source,Supported,Not stated,Not stated
12,Competition Commission,Merger of MIH eCommerce and Webuycars,Kganare Khumalo Incorporated,"500,000.00",Single source,Supported,Not stated,Not stated
13,Cooperative Governance,Library Subscriptions,"Sabinet, Juta, Parliamentary
Monitoring Group, EBSCO,
International Institute of Race
Relations and Lexis Nexis",Not stated,Continuity of service,Conditional support,2019/04/01,2021/03/31
14,Cooperative Governance,Renewal of Maintenance Agremeent for TeamMate Audit Management Software,"Pricewaterhouse Coopers Agent of
Wolters Kluwer Tax and Accounting","292,343.73",Continuity of service,Conditional support,Not stated,3 years
15,Council for Geoscience,"Deep vertical stratigraphic research - core borehole for the Karoo deep
programme",Closed bid,"4 0,000,000.00",Urgency procurement process,Not supported,Not Stated,Not Stated
16,"Council for the Built Environment
(CBE)",License renewal for a period of 5 years,Sage 300,"9 41,727.28",Single Source,Conditional support,2019/05/2,2022/05/1
17,Defence,Document management system of the HR unit,"OptiPlex Electronic Management
System","164,996,929.88",Continuity of service,Conditional support,Not stated,Not stated
18,"Department of Cooperative
Governance",Storage facility,Iron Mountain,Not indicated,"Financially viable to continue with same
provider",Conditional support,Not stated,Not stated
19,"Department of Justice and
Constitutional Development",Transcription services or the Commission on State Capture,Accura Africa Group (Pty) Ltd,"1,200,000.00",Continuity of service,Conditional support,Not stated,2019/08/01
20,"Department of Justice and
Constitutional Development",The renewal of co-sign software license assurance services,ECMS (Pty) Ltd,"4,559,750.00",Continuity of service,Noting,Not stated,Not stated
21,"Department of Justice and
Constitutional Development",Legal services,Various service providers,"89,600,000.00",Continuity of service,Not supported,Not stated,Not stated
22,"Department of Justice and
Constitutional Development",Rental audio-visual equipment for the Commission on State Capture,Multi Media Solution,"2,000,000.00",Continuity of service,Conditional support,Not stated,Not stated
23,"Department of Justice and
Constitutional Development",Suite licenses,Altova Software,"288,865.90",Continuity of service,"Within AA/AO mandate
Noting",Not stated,Not stated
24,Department of Trade and Industry,South Africa-Japan CEO Business Roundtable,Ritz-Carlton Hotel,"900,000.00",Non responsive bids,Conditional support,2019/06/29,2019/06/29
25,Department of Transport,Supply of 80 buses on rental basis for the RSA Presidential inauguaration,City of Tshwane,"3 97,545.50","DoT will realize a cost saving of R790
454.5","Within AA/AO mandate
Noting","2019/05/11,18",2019/05/25
26,Department of Transport,Renting of 98 luxury vehicles for the RSA presidential inaguaration,BMW SA,"1,336,104.00","DoT will realize a cost saving of
R2091587.60",Supported,2019/05/25,2019/05/25
27,DPSA,Appointment of 15 consultants for research on a Presidential Project,Not stated,"3,673,800.00",Urgency of the project,Supported,Date of approval,Once off
28,Energy,"Procure petroleum products licensing system phase 4 development, maintenance
and support service",Magix Integrated (Pty) Ltd,"5 ,096,064.00",Sole supplier,Noting,Not stated,Not stated
29,Environmental Affairs,Development of collaborative study for initiative 5 of operation Phakisa,GTAC,"1 ,538,240.00","GTAC is an entity of National Treasury and
is reliable",Supported,2019/06/1,2020/05/31
30,ESKOM,"Substation Control Systems Equioment for Transmission, Group Capital and
Distribution","Integrators of Systems Technology
(Pty) Ltd",Not stated,Noting,"Within AA/AO mandate
Noting",Not stated,Not stated
,ESKOM,Maintenance Services for Oil Flame Scanners,ABB South Africa (Pty) Ltd,"38,573,172.00",Only successful tenderer,Not supported,Not stated,36 months
Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"not supported/not
supported/Conditional
supported
(Use
dropdown List)","Contract start
date
(yyyy/mm/dd)","Contract expiry
(yyyy/mm/dd)"
32,ESKOM,Provision of Milling Plant Maintenance during an Outage at Arnot Power Station,Steinmulller Africa (Pty) Ltd,"2,720,285.83",Cost savings,Conditional support,Not stated,2 months
33,ESKOM,Provision of DSTV and Radio Services,Multi Choice Africa (Pty) Ltd,"407,512.62",Industry Player,"Within AA/AO mandate
Noting",Not stated,5 years
34,ESKOM,Maintenance and Support of Energy Trading System,Energy System,"3,364,020.00",Original Equipment Manufacturer,"Within AA/AO mandate
Noting",2019/06/01,2020/05/31
35,ESKOM,Provision of Training Centre Upgrade Project at Camden Power Station,Hula U Gude,"1,550,000.00",Continuity of service,Conditional support,2019/07/01,2020/05/30
36,ESKOM,Oracle Developer Suite Maintenance and Support,"Blue Turtle
Time Quantum","1,366,093.00",Original Equipment Manufacturer,Conditional support,2019/06/18,2021/06/17
