Department / Entity,Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommeded by AO/
AA","supported/ not
supported by NT",Contract start date,Contract expiry,
"Agriculture, Forestry &
Fisheries",Purchase of Seedlings,Seedlings Associate of SA,"9,000,000.00","Accredited suppliers to Seedlings Growers Association of
South Africa.",13/05/2016,not supported,not stated,not stated,
ARC,Clearing of foot & mouth vaccines from Botswana,Manica Africa SA,"1,427,327.50",sole source for transportation of vaccines,04/05/2016,not supported,not stated,not stated,
Arts & Culture,Night of legends project - Africa,Mason Company,"1,384,563.00",panel of service providers utilized,03/05/2016,supported,once off,once off,
Arts & Culture,Marketing and communication for 2016 Africa month,The Communication Firm,"8,506,226.00",panel of events management companies used,27/04/2016,supported,29/04/2016,29/04/2016,
Arts and Culture,Media buying for Freedom day,W5 Partners,"1,275,910.00",only supplier who responded,22/04/2016,supported,27/04/2016,27/04/2016,
Arts and Culture,Stage /platform for 2016 human Rights Day,Gearhouse,"1.032,925.00",single source - preferred supplier,05/05/2016,supported,21/03/2016,21/03/2016,
Arts and Culture,Venue Hire - 2016 human Rights Day,Moses Mabhida Stadium,"1,329,069.00",single source - preferred supplier,05/05/2016,supported,21/03/2016,21/03/2016,
Basic Education,Mobile Chemical Toilets,Mvundla Group,"88,920.00","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,Inhlanzeko Project Management Services,"174,420.00","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,Batubatsi.Com,"49,485.00","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,The Royal Dish,"415,872.00","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,Sapitwa Corporation,"436,860.00","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,Lexbonar,"76,544.00","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,Tropical Sky,"454,229.76","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
Basic Education,Mobile Chemical Toilets,Tsebetso Gen Supplies,"152,799.28","urgent provision of temporal chemical sanitation for
schools",29/03/2016,not supported,not stated,not stated,
CATHS SETA,Upgrade and support of MIS & IT infrastructure,Deloitte IT,"5,985,284.80",administrator appointed days before expiry of contract,not stated,not supported,01/04/2016,31/03/2018,
CHIETA,Operating Lease agreement-Gauteng Head,Props 148 (Pty) Ltd,"4,288,276.00",offer made by the landlord offer cost effective,not stated,not supported,01/04/2016,31/03/2018,
CHIETA,Operating Lease Agreement-KZN Regional Office,Delta Property Fund Ltd,"974,917.00",potential cost reduction,not stated,not supported,01/04/2016,31/03/2018,
CHIETA,"Operating Lease Agreement-Western Cape
Regional Office",Branvest trading as Branvest CC,"612,281.00",potential cost reduction,not stated,not supported,01/04/2016,31/03/2018,
CHIETA,Internal Audit Services,SAB & T Chartered Accountants,"2,556,362.00",continuity of service,not stated,not supported,01/04/2016,31/03/2018,
CHIETA,Management Information System,"Naicker Consulting Services trading as IT
Aware","8,413,200.00",Extension of the establishment license,not stated,not supported,01/04/2016,31/03/2018,
CIPC,"Procurement of IP Business systems software
license",Sword SA,"4,974,604.35",Sole supplier,22/04/2016,supported,01/04/2016,31/03/2017,
CIPC,"Procurement of Computron license and Gold level
onsite supported",Gen 2,"1,435,183.52",Single source,22/04/2016,supported,01/04/2016,31/03/2017,
CIPC,"Printing and posting of annual return deregistrarion
letters by SAPO",SAPO,"20,000,000.00",SAPO sole provider for governent institutions,09/03/2016,supported,01/07/2016,30/04/2017,
CIPC,VPN dedicated Internet services,SITA,"5,466,618.84",Only secure inter-govermental department provider,22/04/2016,supported,01/04/2016,31/03/2019,
Cooperative Governance,Presidential visit to Kwaggafontein,Wilmet Holdings,"766,580.00",Urgent Presidential visit,not stated,supported,Once-off,Once-off,
Cooperative Governance,"Maintenance of a perfomance planning and
monitoring system",Moya Technology CC,"665,000.00",continuation of service,not stated,supported,01/05/2016,30/04/2017,
Cooperative Governance,Integrated Urban Development Framework,Rhodes University & Sun Boardwalk Casino,"374,500.00",Participate in the event organised by Rhodes university.,not stated,supported,18/05/2016,18/05/2016,
Council for Geoscience,ICP OES instrument,Chemetrix,"1,901,593.00",procuring through the OEM,12/04/2016,supported,once off,once off,
Council for Medical Schemes,Monitoring media services,Ornico Group and Marketing IQ,"865,373.80","Inability to provide full social media campaign tracking by
the highest scoring bidder.",01/08/2016,not supported,not stated,not stated,
Environmental Affairs,AET and grade 12 classes,Letlotlo EDU Training (Pty) Ltd,"414,785.31",Continuation of service,16/05/2016,supported,07/07/2016,06/07/2017,
Environmental Affairs,AET and grade 12 classes,Letlotlo EDU Training (Pty) Ltd,"414,785.31",Continuation of service,16/05/2016,supported,07/07/2016,06/07/2017,
Environmental Affairs,"Implementer of profesional services work - tidal pool
and coastal infrastructure",Prestedge Retief Dresner Wijnberg (Pty) Ltd,"9,500,000.00",Provision of specialized service,21/04/2016,not supported,not stated,not stated,
Environmental Affairs,"maintenance of Cadastral, Rural Deeds spatial data
sets",Afrigis,"1,716,256.00",single source,21/09/2015,supported,21/09/2015,20/09/2016,
Environmental Affairs,"Implementation of an enterprise GIS platform
screening system",Esri South Africa,"3,355,344.00",single source,11/05/2016,supported,not stated,not stated,
Health,EDMS start up and go,Product One Solution Pty Ltd,"3,392,092.80",Sole supplier,06/04/2016,not supported,06/04/2016,not stated,
Health,"Procurement of Dichloro Diphenyl-Trichloro- Ethane
from Manufacturers",Hindustan Insecticides Ltd,not stated,Manufacturer,09/06/2016,,not stated,not stated,
Health,Development of stock visibility solution,Vodacom Foundation,"2,139,160.00",Data intergration for stock visibility in all provinces,10/06/2016,supported,not stated,not stated,
Higher Education,"Graduate placement and Career Exhibition Expo in
Pietermaritzburg, KZN in April 2016",Crocia Events,"3,230,993.70",RFQ process - obtained more than three quotations,02/04/2016,not supported,08/04/2016,08/04/2016,
Higher Education,"Financial Year End, performance information
reporting and audit preparation 2015/2016",Ernst and Young (Pty) Ltd,"4,259,668.34",continuation of service,07/04/2016,not supported,10/04/2016,30/05/2016,
Home Affairs,Renewal of license,Microsoft,"172,189,945.00",Licence renewal,22/03/2016,supported,01/04/2016,31/03/2019,
Home Affairs,APP System,Internet Solutions,"747,338.40",sole supplier,22/03/2016,supported,01/04/2016,31/03/2019,
"Justice and Constitutional
Development","To procure specific resources (skills) which were
contracted previously while waiting for the National
Treasury report on the outcome of the quality
assurance","Gijima, Mpamba Solutions and Consulting,
Morvest Proffessional Services and EOH
Abantu","4,236,887.59",Continuation of service,29/06/2016,supported,01/07/2016,30/09/2016
Labour,Ongoing maintenance services,Oracle Corporation,"4,827,377.00",continuation of service,14/03/2016,supported,not stated,12 Months Contract
Labour,Renewal of Adobe licences,Interfile,"1,356,936.79",Provision of support & maintenance,08/05/2016,supported,not stated,12 months contract
Legal Aid,Property lease Garankuwa Justice Centre,Government Employees Pension Fund,"2,278,303.44","Align the security contract with the current office lease
contract",28/06/2016,supported,01/05/2015,30/04/2018
Lepelle Northern Water,"Emergency project for the National Public
awareness campaign on water use effeciency-rol out
of drop solution and hippo rollers","Gondovox (Pty) Ltd and MIH Projects (Pty)
Ltd","35,400,000.00
15,000,300.00",Emergency,01/03/2016,not supported,not stated,not stated
Lepelle Northern Water,Supply of stop logs-Phalaborwa Plant,Shaweni Consulting,"6,012,104.00",single source,29/03/2016,not supported,not stated,not stated
Lepelle Northern Water,Restoration of water supply-Nwamitwa,"Dynamic Integrated Geo-Hydro
Environmental Affairs","9,993,410.00","Urgenncy in addressing Water & Sanitation challenges in
Limpopo.",29/03/2016,not supported,not stated,not stated
