Number,"Entity/Department
(Use dropdown List)",Project Description,Supplier,Value of Contract,Reason for Deviation,"Award/recommended by
AO/ AA","not supported/not
supported/Conditional supported
(Use dropdown List)","Contract start date
(yyyy/mm/dd)",Contract expiry (yyyy/mm/dd)
1,"African Explaration Mining and Finance
Corporation (AEMFC)","Provision of further services to address shortfalls not covered by the initial
optimization study",Thuthukani Engineering,"657,349.20",Continuity of service,2019/01/15,Not supported,Not Stated,Not Stated
2,"African Explaration Mining and Finance
Corporation (AEMFC)",Provision of detailed engineering designs of the Klippoortjie Mine,Not Stated,Not Stated,Continuity of service,2019/01/15,Supported,Not Stated,Not Stated
3,Agricultural Research Council,Illumins Products maintenance,Whithead Scientific,"1,115,644.54",Sole supplier,2019/01/23,Noting,Not Stated,Not Stated
4,Agricultural Research Council,Supply of parts and sensor for weather station maintenance,CS Africa (PTY) LTD,"3,437,197.53",Sole supplier,2019/01/23,Noting,Not Stated,Not Stated
5,"Agricultural Sector Education and Training
Authority",Training and hand over of work in relation to Mandatory Grant Management,Solugrowth,"3 45,000.00",Hand over of the project,2019/02/13,Supported,2019/04/1,2019/07/31
6,"Agriculture, Forestry and Fisheries","Planting, care and maintenance of trees and other vegetation",Food and Trees for Africa,"4 00,000.00","The supplier has largest database applications in the
country",2018/12/05,Within AA/AO mandate Noting,Not Stated,Not Stated
7,"Agriculture, Forestry and Fisheries",Implementation of agroforestry strategy,University of Limpopo,"7 50,000.00","The only university to render the service as University of
Venda has lecturing challenges",2018/12/05,Supported,Not Stated,Not Stated
8,"Agriculture, Forestry and Fisheries",Land use and soil management draught intervensions,Not applicable,0.00,Limited available time to run a tender,2018/12/18,Not supported,Not Stated,Not Stated
9,"Agriculture, Forestry and Fisheries",Telecommunication Infrastructure,Telkom,"4,178,140.20",Business countinuity,2019/02/27,Supported,Not Stated,Not Stated
10,Amatola Water Board,"Microsoft Enterprise License Agreement for a subscription of office 365 e3 option
for 250 employee using the SITA Framework Agreement",Microsoft,"1,722,594.15",Single Source,2019/03/08,Supported,Not Stated,Not Stated
11,Arts and Culture,To Manage the social compact project and summit,"Mapungubwe Institute for Strategic
Reflection","4 ,594,818.00",Bids received were non-responsive,2019/02/14,Supported,Not stated,Not Stated
12,Basic Education,"Technical support for the implementation of the Systemic Evaluation model in
South Africa","Australian Council for Education
Research (ACER)","14,700,000.00","Preferred bidder after national and international market
tested",2019/03/13,Supported,Not Stated,Not Stated
13,Brand SA,Storage and backup of tapes,Metrofile,"1 56,625.00",Metrofile renders valuable service,2019/02/11,Not supported,2019/04/1,2024/03/30
14,Brand SA,Storage and document management facilities,Docufile,"1 14,845.00",Impractical to move Documents,2019/02/11,Not supported,2019/04/1,2024/03/30
15,Competition Commission,Representing the entity in a legal matter,Adv Anisa Kessery,"500,000.00",Single source,2019/03/14,Supported,2019/03/26,Once off
16,Construction Education and Training Authority,Legal Firms,CSD,"4 60,000.00",Current panel of legal firms not suitable for the case,2019/01/30,Conditional support,2019/04/1,2019/05/30
17,Construction Industry Development Board,Development of research centres,Closed bid,"3,000,000.00",Closed bid,2019/03/27,Supported,Once-off,Once-off
18,Cooperative Governance,"Renewal of annual subscription membership fee to access consolidated
platforms of intergrated databases",IHS Information & Insight (Pty) Ltd,"1,819,185.00",Subcription renewal,2019/03/11,Supported,Not stated,Not stated
19,Council for Built Envioronment,"Supply, Implementation and integration of the cloud based payroll",Sage 300 people,"1,060,914.87",Single Source Procurement,not ststed,Not supported,Not Stated,Not Stated
20,Council for Medical Schemes,"Investigations on various allegations and non-compliance with MSA against
trustees",CJ Potgieter,"1,796,400.00",Urgency and confidentality,2018/12/20,Not supported,Not Stated,Not Stated
21,Council for Medical Schemes,Live reads on customer awareness campaign,Umhlobo Wenene FM,"9 9,360.00",Sole supplier,2019/03/13,Within AA/AO mandate Noting,Not Stated,Not Stated
22,DBSA,"Refurbishment and maintenance of boilers at various health facilities in North
West province",John Thompson,"210,986,100.00",Single source due to capacity and capability,2019/01/14,Not supported,2019/03/14,3 years
23,DENEL (Pty) Ltd,Automated Sprinkler Systems,Excellent Fire Protection Services,"5,940,240.00",Continuity of service,2018/11/21,Conditional support,Not stated,Not stated
24,DENEL (Pty) Ltd,Panel of Preferred List of Service Providers,Various suppliers,"191,398,119.61",Pre-approved suppliers,2018/11/21,Conditional support,Not stated,Not stated
