,Entity/Department,Project Description,Supplier,Value of Contract,Reason for Deviation,Award/recommeded by AO/ AA,"Not supported/Not
supported/Conditional
supported",Contract start date,Contract expiry
1,AEMFC,"Provide services that will assist AEMFC to comply with the
newly issued Intergrated Water Use License",Wetland Consuting,Not stated,"Required Integrated Water Use License obtained by
Wetland Consulting",2017/06/29,Conditional Support,2017/08/01,2019/07/31
2,AEMFC,Recruitment process of a Chief Audit Executive,Esource Technologies,"319,200.00",A position was offered to a candidate from E-source,2017/07/28,Not supported,once-off,once-off
3,AEMFC,"Installation 20 proximity detecting system on the mining
machinery",Booyco Electronics (Pty) Ltd,"653,448.00",Supplier had already installed 10 system on trial basis.,2017/07/31,Not supported,Not stated,Not stated
4,AEMFC,Provision of project management service,Shackan Project Services,"393,828.00","Entity was under severe time constraint to change the mine
to owner operated.",2017/07/31,Not supported,2017/03/01,2017/06/27
5,AEMFC,Supply and delivery of 230kt coal to Kendal Power Station,Mwelase Mining Pty Ltd,18.12,Cost effective in delivering coals to Kendal Power Station,2017/08/28,Conditional support,2017/10/01,2017/12/31
6,Agrément South Africa,Lease agreement,CSIR,"6,835,166.00",Single source,2017/08/24,Supported,2017/04/01,2023/03/31
7,Agriseta,Scribe Services,Hattie Barkhuizen,"9,600.00",Single source,2017/07/25,Not supported,Not stated,Not stated
8,Air Chefs,2 high loader trucks for catering services,Alrode Commercial Trucks,"4,132,716.60",Urgency; used RFQs,2017/09/08,Conditional support,2017/09/13,Once off
9,Amatola Water,Strategic Communication Service,Media EQ,"500,000.00",Contract expired but service still required,2017/07/14,Not supported,2017/07/01,2018/06/30
10,Amatola Water,"Phase B: Construction Monitoring on upgrading the Nahoon
Water Treatment Work",Element Consulting Engineers,"48,289,943.00",Single source to complete Phase B of project,2017/02/21,Conditional support,2017/07/27,2022/06/02
11,Amatola Water,Confidentail investigation services,Chris Botha Investagators,"150,000.00",Service required to finalise invstigation process,2017/08/08,Not supported,8/9/2017,8/27/2017
12,ARMSCOR,Cancellation of bid for Tranceiver system,Not available,0.00,Previously advertised bids unresponsive,2017/06/29,Not supported,Not applicable,Not applicable
13,ARMSCOR,Cancellation of bid for Truck tractors with low bed,Not available,0.00,Previously advertised bids unresponsive,2017/06/29,Not supported,Not applicable,Not applicable
14,Artscape,"Appointment of a consultant to draft the specification for the
generator",Lewis De Kroon,"790,000.00",Continuity of service,2017/08/03,Conditional support,Not stated,Not stated
15,ASSAF,Conference,Boardwalk,"847,039.00",Single source,2017/07/10,Conditional support,2017/08/30,2017/09/01
16,Basic Education,Procurement fo Braille textbooks and workbooks,Pioneer Printers,Not stated,Sole source,2017/09/20,Conditional support,Not stated,Not stated
17,CBE,Transformation INDABA,"Power FM, Kaya FM, Radio
702 and SABC","171,525.00",Single source,2017/08/24,"Within the authority of
the AA/AO",2017/08/29,2017/08/29
18,CBE,Arbitration hearing on behalf of CBE,Gildenhuys Malatji Attorneys,"634,980.00",Continuity of service,2017/09/08,Conditional support,2017/11/01,2022/10/30
19,CCMA,Litigation matters,Various Service Providers,Not stated,Continuity of service,2017/07/21,Not supported,8/8/2017,Once off
20,CCMA,Archiving service,Document Warehouse,Not stated,"Single source due to current service provider storing the
documents",2017/06/08,Conditional support,8/7/2017,12 months
21,CIDB,Legal Advisory services,Hahn and Hahn attorrneys,"500,000.00",Continuity of services,2017/07/20,Conditional support,Not stated,Not stated
22,CIDB,Postgraduate Conference,"Nelson Mandela Metropolitan
University","300,000.00",Single source,2017/07/17,Supported,2018/02/01,2018/02/01
23,CIDB,Support and maintenance of the leaner Management System,Deloitte,"861,840.00",Single source,Unsigned,Supported,2017/08/01,2019/07/31
24,COGTA,Vehicle for Deputy Minister,Volvo XC90D4-Onyx Black,"1,118,352.00","National Treasury Transversal Contract RT57-2016/2017
does not cater for prefered vehicle",2017/03/13,Conditional Support,Once off,Once off
