,,,Expansions,,,Quarter 4: Jan - Mar 2018,,,,,,
,Date Received,Department / Entry,Project Description,Supplier,Reason for Extension,"Original Contract
Value","Value of Contract
Extension","Value of Previous
Extensions","Award /
Recommendation
Date",Support Status,"Contract Start
Date",Contract End Date
1,2018/02/16,AEMFC,Extension of SAGE contract,SAGE SA (Pty) Ltd,Continuity of services,"62,794.33","4,242,567.38",0.00,2018/02/15,Conditional support,2017/03/01,2018/02/28
2,2018/2/16,AEMFC,Internet Connectivity,IGNITE,"Accredited supplier for WAN and
Continuity of service",128 000.00,158 577.00,0.00,2018/2/15,Conditional support,2018/04/01,2019/03/31
3,2018/02/05,AgriSETA,To provide IT services,Deloitte Consulting (Pty) Ltd,"SETA's 2 years operating Licence
extension",34 125 715.00,4 700 000.00,18 028 373.00,2018/02/05,Supported,2018/04/01,2020/03/31
4,2018/01/24,AirChefs,Consulting services,South African Strategic Sourcing,Expansion of scope of work,423 000.00,391 125.00,0.00,2017/11/21,Supported,2017/12/01,2018/03/31
5,2017/12/19,Arts and Culture,Travel Management Services,Travel With Flair,"To allow the new service provider
time to transition into the new
system",0.00,100 000.00,0.00,2017/12/19,Supported,2018/01/01,2018/01/28
6,2018/02/28,BANKSETA,Head Office Lease,Redefine Properties,"The existing Board is not
comfortable in committing the
entity to a 2 year lease",2 544 624.00,1 380 459.00,0.00,2018/02/28,Not Supported,2018/03/01,2018/08/30
7,2018/03/22,BANKSETA,Telecommunication Services,Telkom and Neotel,"Service providers do not contract
for less than 24 months",600 000.00,100 000.00,0.00,2018/03/22,Not Supported,2018/04/01,2023/08/31
8,2018/03/20,CATHSSETA,"Management Information
System and support services",Deloitte Consulting,"The length of time to transition to
the new system",0.00,1 594 104.00,0.00,2018/03/20,Supported,2018/04/01,2019/03/31
9,2018/01/24,CBE,"BIC reports to be automated on
the system",Brilliant Link,"Entity has challenges assessing
the built in report (BIC) function",4 400.00,8 789.10,0.00,2018/01/24,Supported,Once off,Once off
10,2018/02/19,CCMA,"Provision of network
connectivity",MTN,Allow transition,19 500 000.00,2 772 316.02,6 985 644.63,2018/02/26,Supported,2018/04/01,2018/06/30
11,2018/03/12,CCMA,Telephone systems services,ATIO,"Continuity of service and allow
transition",7 567 326.08,1 472 600.58,2 208 900.87,2018/03/15,Not Supported,2018/04/01,2018/09/30
12,2018/02/20,CETA,"Training for 2 CETA staff
members",VMWare Vsphere,"Training is only provided by
VMWARE",0.00,35 887.50,0.00,2018/02/20,AO/Par 3.3.3,Once off,Once off
13,2018/02/20,CETA,"Training for 2 CETA staff
members",CISCO CCNA V3,"Training is only provided by
CISCO",0.00,17 943.70,0.00,2018/02/20,AO/Par 3.3.3,Once off,Once off
14,2018/02/06,CIPC,Bandwidth connectivity,MTN,No additional cost to CIPC,902 295 24,0.00,"not indicated, though
there are previuos
extensions",2018/02/06,Noted,n/a,Not stated
15,2018/01/15,Compensation Fund,Telecommunications services,Nashua Communications,"Continuity of service and
relocation of equipment",1 582 652.74,4 690 596.24,0.00,2018/01/15,Not Supported,2017/12/01,2020/05/31
16,2018/03/15,Compensation fund,"Umehluko support and
maintenance",RMA,Continuity of service,11 310 750.00,147 371 531.52,90 840 874.50,2018/03/20,Supported,2018/04/01,24 months
17,2018/3/1,"Council for Scientific and Industrial
Research",Travel management services,Carlson Woganlit Travel,"Needs more time to finalise a
tender process",25 970 624.00,1 200 000.00,4 274 748.00,2018/3/1,Supported,2018/04/01,2018/07/31
18,2017/12/12,DBSA,"Upgrade nine fleet workshop
depot",Baitseanape Consulting,Expansion of scope of work,1 026 855.00,3 425 060.06,0.00,2017/11/20,Not Supported,2018/01/15,2018/06/15
19,2018/01/17,DBSA,"Alignment of CRM to updated
organisational structure",BPI on Demand,Need for additional funds,4 483 127.52,66 120.00,0.00,2017/11/22,"Within AA /AO
mandate",Once off,Once off
20,2018/02/01,DBSA,"Profesional services for High
Education facilities",FV Trading Enterprise,Expansion of scope of work,30 536 398.00,17 946 254.52,5 496 551.64,2018/02/01,Not Supported,2018/02/01,2018/06/30
21,2018/02/02,DBSA,"Backup and disaster recovery
services",Global Continuity SA Ltd,"Competitive bidding process
underway",2 999 844.00,400 000.00,302 592.00,2018/02/02,Supported,2018/04/01,2018/07/31
22,2017/10/12,DCS,"Installation of high security
fencing of 27 prisons on 13
facilities as well as the
associated integrated security
systems and sally ports",SA fence and Gate,"number of change controls were
requested and approved to finalise
the work",470 843 495 45,128 256 527 60,127 874 263 776,2017/10/04,Not Supported,2012/02/29,2013/04/26
23,2018/01/11,Defence,"Provision of Electronic
Document Management System
(EDMS)",Optiflex,"Project already rolled out at
Minister's environment as well as
SecDef's environment, need to
expand service to Central
Procurement Service Centre",Not indicated,42 000 000,0.00,2018/01/11,Not Supported,Not applicable,Not applicable
24,2018/01/11,Defence,"Temporary residential
accommodation for SecDef",Not stated,"Official residence under
renovations",725 014 38,250 581 00,696 605 49,2018/02/26,Not Supported,Not applicable,Not applicable
25,2018/01/25,Defence,Supply of wet and dry rations,Various suppliers,Tender process underway,Not indicated,859 262 393 00,0.00,2018/01/25,Not Supported,Not applicable,Not applicable
