GOVERNANCE MONITORING AND COMPLIANCE: QUARTER 2 (JULY - SEPTEMBER 2016) REPORT- EXPANSIONS,,,,,,,,,,
Department/ Entity,Project Description,Supplier,Reason for extension,"Original Contract
Value","Value of Contract
Extension","Value of previous
extensions","Award/
Recommended
date by AO/AA",not supported/not supported,"Contract Start
Date",Contract End Date
AEMFC,Rendering mining services at Vlakfontein mine,Concor,Competitive bid process-in-progress,"252,000,000.00","90,000,000.00","354,000,000.00",9/6/2016,Not Supported,Not stated,not stated
"Agriculture, Forestry and
fisheries","Checkpoint firewall software,equipment and
support","Information Security Architects (Pty)
Ltd",SITA delayed procurement process,"1,247,960.30","158,876.10",Not stated,2016/04/05,Supported,2016/03/01,2017/03/31
Arts and Culture,"Hosting of community service at Ga - Maja
Limpopo",NICDAM,"Supporting documents not provided
for the event","6,424,791.60","1,100,000.00",Not stated,2016/06/20,Not Supported,Once off,once off
Arts and Culture,"Events Management for Womens day
celebrations",Zen One Productions,Urgency,"3,498,865.00","1,130,000.00",Not stated,7/28/2016,Not Supported,Once off,once off
BANKSETA,IT infrustructure upgrade,Neotel,Expansion of IT infrustructure.,"622,029.60","164,593.20",Not stated,2016/07/26,Supported,2016/04/01,2017/03/31
CATHSSETA,"To provide strategic support in planning,
research and quality assurance",Motseki Business Consulting,Continuity of service,"3,008,787.00","2,987,000.00","5,157,920.00",2016/09/02,Not Supported,2016/11/01,2017/04/30
CATHSSETA,To provide strategic technical support,Tenox Management,Continuity of service,"3,391,500.00","3,517,470.00","5,813,000.00",2016/09/02,Supported,2016/11/01,2017/04/30
CETA,"Migration of information from the Sage Pastel
Evolution to Dynamic AX",Ngubane & CO (JHB),Expansion of scope,"1,525,867.20","550,000.00",Not stated,2016/09/14,Supported,Not stated,not stated
CIDB,Security services,Venus Security Solutions (Pty) LTD,Competitive bid process is in progress,"255,652.50","102,261.00",Not stated,2016/08/01,Supported,2016/03/01,2016/10/31
"Compensation
Commision",Umehluko support and maintenance,"Rand Mutual Assurance Company
Limited",Continuity of service,"11,310,750.00","90,840,874.00",Not stated,9/23/2016,Not Supported,10/1/2016,10/31/2016
Correctional Services,Provision and management of food services,Bosasa Operations Pty Ltd,Competitive bid process is in progress,"1,311,400,191.04","585,575,197.82",Not stated,7/8/2016,Supported,Not stated,not stated
"Council on Higher
Education",Conference,Birchwood Hotel,Expansion of scope,"111,740.00","21,000.00",Not stated,2016/08/02,Supported,Once off,once off
"Council on Higher
Education",Strategic Planning,Neil Butcher & Associates,"Extension of scope as a natural
continuation of the initial work","81,200.00","165,300.00",Not stated,2016/04/29,Supported,2016/01/05,2016/05/31
Environmental Affairs,Catering Services,Table 31 Confectionery & Catering,Expansion of scope,"6,400.00","4,000.00",Not stated,2016/07/04,Supported,Once off,once off
Environmental Affairs,"Specialised referal services to the bargaining
council.","Meridian Specialised Skills Institute
of S.A",Continuity of service,"100,000.00","300,000.00",Not stated,2016/07/06,Supported,2016/07/06,2016/08/17
Environmental Affairs,"Cost benefit analysis for Air Quality Management
in South Africa",Mabu Management Solutions,Expansion of scope,"1,888,980.00","1,003,884.00",Not stated,2016/07/19,Supported,Once off,once off
