row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
1,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Alarm repairs,Mphapho Trading,"R8 487,49",Emergency procurement,2022/12/05,Not Stated,Not Stated,,2022/12/05,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
2,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Show,Bloem show,"R35 560,00",Sole source procurement,2022/12/06,Not Stated,Not Stated,,2022/12/06,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
3,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Software renewal,Raymond Rott,"R303 600,00",Sole source procurement,2022/12/07,Not Stated,Not Stated,,2022/12/07,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
4,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Electrical repairs,SAN Building Maintenance,"R13 122,65",Emergency procurement,2022/12/13,Not Stated,Not Stated,,2022/12/13,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
5,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Milk replacer,University of Pretoria,"R15 874,90",Emergency procurement,2022/12/14,Not Stated,Not Stated,,2022/12/14,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
6,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Training,Institute of Board Directors,"R150 000,00",Single Source procurement,2022/09/22,Not Stated,Not Stated,,2022/09/22,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
7,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Roof repairs,Theunissen Thatching,"R9 600,00",Emergency procurement,2022/10/06,Not Stated,Not Stated,,2022/10/06,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
8,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Show,H & G expo,"R18 100,00",Sole source procurement,2022/10/07,Not Stated,Not Stated,,2022/10/07,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
9,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Membership fees,Cape Penensula Fire Protection,"R5 700,00",Sole source procurement,2022/10/07,Not Stated,Not Stated,,2022/10/07,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
10,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Training,University of Cape Town,"R3 500,00",Emergency procurement,2022/10/20,Not Stated,Not Stated,,2022/10/20,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
11,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Generator repairs,CHE Electrical Engineering,"R40 664,00",Emergency procurement,2022/10/20,Not Stated,Not Stated,,2022/10/20,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
12,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Repairs,Labex,"R7 543,00",Emergency procurement,2022/10/20,Not Stated,Not Stated,,2022/10/20,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
13,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Repairs,JB Stamp,"R86 246,00",Emergency procurement,2022/10/20,Not Stated,Not Stated,,2022/10/20,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
14,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Repairs,Switch to green,"R11 802,00",Emergency procurement,2022/10/20,Not Stated,Not Stated,,2022/10/20,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
15,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Repairs,Labex,"R44 238,00",Emergency procurement,2022/10/27,Not Stated,Not Stated,,2022/10/27,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
16,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Alpac Music,"R100 000,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
17,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Breakout Events,"R1 483 086,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
18,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Cape Town Philharmonic NPC,"R259 900,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
19,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Coleske Artists,"R60 950,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
20,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Craig Dillon Lucas,"R38 500,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
21,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Gavin George Wyatt-Minter,"R190 000,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
22,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Golfish Music cc,"R310 500,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
23,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Jeremy Loops Holdings,"R310 500,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
24,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Matthew Mole,"R253 000,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
25,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Melissa Conradie Agency,"R50 000,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
26,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Mi casa Music,"R304 750,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
27,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Oscar Events,"R207 000,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
28,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Respect Music,"R162 150,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
29,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Spoegwolf (Pty) Ltd,"R172 500,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
30,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,Suidoorstefees,"R172 500,00",Single Source procurement,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
31,Q4 2022/23,2022/12/19,"South African National Biodiversity
Institute (SANBI)",Artists,The Cape Town Opera Company,"R230 000,00",Single sourceS -i nTghlee rSeoquurecset pisr otcou prreomcuernet on an urgent,2022/10/21,Not Stated,Not Stated,,2022/10/21,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
32,Q4 2022/23,2023/01/04,"Banking Sector Education and Training
Authority (BANKSETA)SETA","Provision of cyber security
assessment, incident remediation and
securing BANKSETA’s ICT
environment following a cyber security
breach",Vodacom,"R400 000,00","basis the procurement of services from Vodacom to
undertake the following service on an urgent basis1.
Management of the recent cybersecurity incident to
determine extent of cyber threat and potential impact to
business by asseseingassessing and providing
solutions.2. To remedy the cyber threat by addressing
root causes and eliminate any further malware3.
TShtere BngAtNheKnS EanTdA pnreoevdideed a tdod uitrigoennatl lys eaccuqruitiyr em Meaicsruorseosft",2022/12/15,Not Stated,Not Stated,,2022/12/15,Not Stated,Not Stated,,Within AA/AO mandate Noting,New
33,Q4 2022/23,2022/12/23,"Banking Sector Education and Training
Authority (BANKSETA)SETA",Microsoft Office A5 Licence,First Technology (Pty) Ltd,"R100 000,00","A5 licences to ensure business contuity. BANKSETA
was subject to a cyber security threat. The BANKSETA
needs to acquire Microsoft Enterprise licences which
have greater security protection. BANKSETA had
started this process in November with SITA but has
been informed that SITA will only check that the pricing
is in line with government negotatieted pricing and
each entity needs to procure its local partner via
tender. BANKSETA had existsing A5 licences which
have expired and were under a grace period. Microsoft
changed the grace period terms on its A5 licences and
BANKSETA needs to source new ones urgently to
ensure business continuity while the Enterprise",2022/12/09,2022/12/09,2023/03/31,,2022/12/09,2022/12/09,2023/03/31,,Within AA/AO mandate Noting,New
