row_number,quarter,date_received_by_gmc,entity_department,project_description,supplier_service_provider,value_of_deviation,reason_for_deviation,award_by_ao_aa_date,contract_start_date,contract_expiry,status,award_by_ao_aa_date,contract_start_date,contract_expiry,status,supported,rollover_or_new
1,Q2 2024/25,2024/06/24,Legal Aid South Africa,Provision of Quality Assurance services,Webber Wentzel,"R286 350,00",Emergency,2024/06/03,Not Stated,Not Stated,Reported,2024/06/03,Not Stated,Not Stated,Reported,,
2,Q2 2024/25,2024/06/24,Legal Aid South Africa,Jaws upgrade for disabled employee,Sensory Solutions,"R18 990,00",Sole service provider,2024/06/07,Not Stated,Not Stated,Reported,2024/06/07,Not Stated,Not Stated,Reported,,
3,Q2 2024/25,2024/06/24,Special Investigating Unit (SIU),Procurement of Supply and Delivery of 30 Laptops,CompuAfrika (Pty) Ltd,R 806 610.00,"A total of five (05) quotations were received. Only two (02) quotations were
below the threshold of a million.",2024/06/11,Not Stated,Not Stated,Reported,2024/06/11,Not Stated,Not Stated,Reported,,
4,Q2 2024/25,2024/06/24,Department of Human Settlements (DHS),Software maintenance and support,Surtech Solutions RSA,"R140 849,42",Sole service provider,2024/06/18,Once Off,Once Off,Reported,2024/06/18,Once Off,Once Off,Reported,,
5,Q2 2024/25,2024/06/24,Department of Human Settlements (DHS),Software maintenance and support,Wolters Kluwers,"R48 509,52",sole service provider,2024/06/18,Once Off,Once Off,Reported,2024/06/18,Once Off,Once Off,Reported,,
6,Q2 2024/25,2024/06/24,Department of Human Settlements (DHS),207 Building material ward 25 in Kennedy Road Informal Settlemets,Kgoalza Pty Ltd,"R2 676 712,00",Procurement occured in emergency situation and urgent cases,2024/06/18,Once Off,Once Off,Reported,2024/06/18,Once Off,Once Off,Reported,,
7,Q2 2024/25,2024/06/20,Social Housing Regulatory Authority (SHRA),Sole source memo for LexisNexis,LexisNexis,"R416 792,70","Lexis ProcureCheck and Nexis Diligence are registered trademarks of
LexisNexis as the sole distributor",2024/05/15,2024/06/01,2026/05/31,Reported,2024/05/15,2024/06/01,2026/05/31,Reported,,
8,Q2 2024/25,2024/06/26,"National Home Builders Registration Council
(NHBRC)",internal audit software (teammate),Wolters Kluwers,"R165 183,65",impractically impossible,2024/06/12,Once Off,Once Off,Reported,2024/06/12,Once Off,Once Off,Reported,,
9,Q2 2024/25,2024/06/26,"National Home Builders Registration Council
(NHBRC)",provident fund awareness: two- pot system,Simeka Consultants and Actuaries,"R42 061,25",impractically impossible,2024/06/24,Once Off,Once Off,Reported,2024/06/24,Once Off,Once Off,Reported,,
10,Q2 2024/25,2024/06/26,"National Home Builders Registration Council
(NHBRC)",conference and national administrative excellence awards,"The Association For Office
Professionals Of South
Africa (Opsa)","R5 700,00",impractically impossible,2024/06/13,Once Off,Once Off,Reported,2024/06/13,Once Off,Once Off,Reported,,
